description_m,offense_m,,description_o,offense_o,,description_v,offense_v
Armed Robbery,37,,Dead Body,2,,Agg Assault - Domest,17
Auto Theft,91,,Disorderly Conduct,14,,Agg Assault - Drive-,6
Auto Theft Outside S,4,,Driving Under Influe,8,,Aggravated Assault (,58
Burglary - Non Resid,16,,Drunkenness,2,,Arson,6
Burglary - Residence,42,,False ID,2,,Attempt Suicide by S,1
Counterfeiting,2,,False Information to,4,,Bomb Threat/Intimida,2
Credit/Debit/ATM Car,10,,Family Offense,4,,Forcible Sodomy,8
Embezzlement,8,,Hacking/Computer Inv,1,,HOMICIDE/Non Neglige,3
Forged Checks,2,,Identity Theft,7,,Hit and Run of a Per,1
Forgery,1,,Intimidation,18,,Kidnapping/Abduction,2
Fraud/Confidence Gam,7,,Misc Violation,45,,Non Agg Assault Dome,79
Passing Bad Checks,1,,Pornography,1,,Non Aggravated Assau,48
Property Damage,68,,Possession of Drug E,7,,Rape,3
Stealing All Other,42,,Possession/Sale/Dist,38,,Resisting an Officer,14
Stealing Auto Parts/,37,,Prostitution/Patroni,1,,Sex Off Indecent Exp,1
Stealing Bicycles,1,,Prostitution/Solicit,2,,Sex Off Misconduct,1
Stealing From Auto,82,,Violation Ex Parte O,2,,Stalking,1
Stealing Purse Snatc,2,,Violation Full Order,5,,,
Stealing Shoplifting,50,,Weapons Law Violatio,6,,,
Stealing from Buildi,33,,,,,,
Stolen Property OFFE,7,,,,,,
Strong Arm Robbery,13,,,,,,
Trespassing,24,,,,,,
