Description,Index
Agg Assault - Domest,2766
Agg Assault - Drive-,700
Agg Assault Dome,4
Aggravated Assault (,6595
Animal Cruelty,14
Armed Robbery,4033
Arson,432
Arson with Fire Bomb,4
Attempt Suicide by C,37
Attempt Suicide by G,2
Attempt Suicide by H,17
Attempt Suicide by J,5
Attempt Suicide by O,24
Attempt Suicide by P,10
Attempt Suicide by S,68
Auto Theft,8456
Auto Theft Outside S,628
Bomb Threat/Intimida,97
Burg Res Occ,2
Burglary - Non Resid,1883
Burglary - Residence,9360
Casualty (includes a,4
Counterfeiting,293
Credit/Debit/ATM Car,1217
Curfew,52
Dead Body,61
Disorderly Conduct,1546
Driving Under Influe,990
Drunkenness,63
Embezzlement,469
Extortion/Blackmail,19
Failure to Return,71
False ID,5
False Information to,232
Family Disturbance,6
Family Offense,619
Forcible Fondling,10
Forcible Sodomy,406
Forged Checks,329
Forgery,445
Fraud/Confidence Gam,1608
HOMICIDE/Non Neglige,251
Hacking/Computer Inv,78
Hit and Run of a Per,18
INTIMIDATE,2
Idenity Theft,2
Identity Theft,1508
Impersonation - NOT,98
Interference with Cu,104
Intimidation,1552
Justifiable Homicide,3
Kidnapping/Abduction,177
Liquor Law Violaton,310
Loitering,48
Misc Violation,5767
Missing/Runaway Juve,20
NON AGG ASSAULT DV,2
Non Agg Assault Dome,8993
Non Aggravated Assau,6487
Passing Bad Checks,24
Peeping Tom,9
Pornography,33
Possession of Drug E,2029
Possession/Sale/Dist,4765
Promoting Prostituti,60
Property Damage,11073
Prostitution/Patroni,231
Prostitution/Solicit,185
Rape,564
Resisting an Officer,1569
STEAL TFA,2
Sex Off Follow/Entic,12
Sex Off Fondle - mol,297
Sex Off Indecent Con,91
Sex Off Indecent Exp,142
Sex Off Misconduct,149
Sex Offense -others,94
Sexual Assault with,6
Stalking,22
Statutory Rape,71
Stealing All Other,4286
Stealing Auto Parts/,4036
Stealing Bicycles,177
Stealing Coin Operat,42
Stealing From Auto,7711
Stealing Pickpocket,109
Stealing Purse Snatc,98
Stealing Shoplifting,6126
Stealing from Buildi,5090
Stolen Property OFFE,494
Strong Arm Robbery,2099
Suicide - Domestic V,2
Suicide By Cutting,1
Suicide By Hanging,1
Suicide By Shooting,8
Suicide By Sleeping,3
Suicide by Other Mea,2
Trespassing,3515
Violation Ex Parte O,536
Violation Full Order,772
Weapons Law Violatio,2017
Wire Fraud,301
agg dv assault,2
disorderly conduct,4
forgery,2
fraud,3
kidnapping,2
misc off,2
non agg assault,4
trespassing,2
