Description_M,Index_M,Description_O,Index_O,Description_V,Index_V
Auto Theft,8456,Casualty (includes a,4,Agg Assault - Domest,2766
Auto Theft Outside S,628,Curfew,52,Agg Assault - Drive-,700
Burglary - Non Resid,1883,Dead Body,61,Agg Assault Dome,4
Burglary - Residence,9360,Disorderly Conduct,1546,Aggravated Assault (,6595
Counterfeiting,293,Driving Under Influe,990,Animal Cruelty,14
Credit/Debit/ATM Car,1217,Drunkenness,63,Arson,432
Embezzlement,469,Failure to Return,71,Arson with Fire Bomb,4
Extortion/Blackmail,19,False ID,5,Attempt Suicide by C,37
Forged Checks,329,False Information to,232,Attempt Suicide by G,2
Forgery,445,Family Disturbance,6,Attempt Suicide by H,17
Fraud/Confidence Gam,1608,Family Offense,619,Attempt Suicide by J,5
Passing Bad Checks,24,Hacking/Computer Inv,78,Attempt Suicide by O,24
Property Damage,11073,Idenity Theft,2,Attempt Suicide by P,10
Stealing All Other,4286,Identity Theft,1508,Attempt Suicide by S,68
Stealing Auto Parts/,4036,Impersonation - NOT,98,Bomb Threat/Intimida,97
Stealing Bicycles,177,Liquor Law Violaton,310,Burg Res Occ,2
Stealing Coin Operat,42,Loitering,48,Forcible Fondling,10
Stealing From Auto,7711,Misc Violation,5767,Forcible Sodomy,406
Stealing Pickpocket,109,Missing/Runaway Juve,20,HOMICIDE/Non Neglige,251
Stealing Purse Snatc,98,Peeping Tom,9,Hit and Run of a Per,18
Stealing Shoplifting,6126,Pornography,33,Justifiable Homicide,3
Stealing from Buildi,5090,Possession of Drug E,2029,Kidnapping/Abduction,177
Stolen Property OFFE,494,Possession/Sale/Dist,4765,NON AGG ASSAULT DV,2
Strong Arm Robbery,2099,Promoting Prostituti,60,Non Agg Assault Dome,8993
forgery,2,Prostitution/Patroni,231,Non Aggravated Assau,6487
fraud,3,Prostitution/Solicit,185,Rape,564
Armed Robbery,4033,Trespassing,3515,Resisting an Officer,1569
,,Violation Ex Parte O,536,STEAL TFA,2
,,Violation Full Order,772,Sex Off Follow/Entic,12
,,Weapons Law Violatio,2017,Sex Off Fondle - mol,297
,,Wire Fraud,301,Sex Off Indecent Con,91
,,disorderly conduct,4,Sex Off Indecent Exp,142
,,misc off,2,Sex Off Misconduct,149
,,trespassing,2,Sex Offense -others,94
,,INTIMIDATE,2,Sexual Assault with,6
,,Interference with Cu,104,Stalking,22
,,Intimidation,1552,Statutory Rape,71
,,,,Suicide - Domestic V,2
,,,,Suicide By Cutting,1
,,,,Suicide By Hanging,1
,,,,Suicide By Shooting,8
,,,,Suicide By Sleeping,3
,,,,Suicide by Other Mea,2
,,,,agg dv assault,2
,,,,kidnapping,2
,,,,non agg assault,4
